"code_bss";"urn_bss";"date_mesure";"timestamp_mesure";"niveau_nappe_eau";"mode_obtention";"statut";"qualification"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-05";"1267747200000";"21.61";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-06";"1267833600000";"21.47";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-07";"1267920000000";"21.34";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-08";"1268006400000";"21.09";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-09";"1268092800000";"21.09";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-10";"1268179200000";"21.04";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-11";"1268265600000";"20.83";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-12";"1268352000000";"20.77";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-13";"1268438400000";"20.65";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-14";"1268524800000";"20.6";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-15";"1268611200000";"20.45";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-16";"1268697600000";"20.37";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-17";"1268784000000";"20.32";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-18";"1268870400000";"20.08";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-19";"1268956800000";"19.97";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-20";"1269043200000";"19.94";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-21";"1269129600000";"20.01";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-22";"1269216000000";"19.79";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-25";"1269475200000";"19.87";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-26";"1269561600000";"19.85";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-27";"1269648000000";"19.83";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-28";"1269734400000";"19.99";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-29";"1269820800000";"19.97";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-30";"1269907200000";"20.21";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-03-31";"1269993600000";"20.32";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-01";"1270080000000";"20.51";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-02";"1270166400000";"20.67";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-03";"1270252800000";"20.82";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-04";"1270339200000";"21.08";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-05";"1270425600000";"21.17";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-06";"1270512000000";"21.15";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-07";"1270598400000";"21.07";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-08";"1270684800000";"21.16";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-09";"1270771200000";"21.08";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-10";"1270857600000";"21.06";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-11";"1270944000000";"20.89";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-12";"1271030400000";"20.81";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-13";"1271116800000";"20.76";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-14";"1271203200000";"20.71";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-15";"1271289600000";"20.62";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-16";"1271376000000";"20.5";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-17";"1271462400000";"20.38";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-18";"1271548800000";"20.23";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-19";"1271635200000";"20.17";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-20";"1271721600000";"20.06";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-21";"1271808000000";"19.9";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-22";"1271894400000";"19.84";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-23";"1271980800000";"19.75";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-24";"1272067200000";"19.78";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-04-25";"1272153600000";"19.95";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
